Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [27500/49000 (56%)]	Train Loss: 1.865233	Val Loss: 1.906510	Val Acc: 37.599998474121094
Train Epoch: 3 [30000/49000 (61%)]	Train Loss: 1.821434	Val Loss: 1.953425	Val Acc: 36.79999923706055
Train Epoch: 3 [32500/49000 (66%)]	Train Loss: 1.817017	Val Loss: 1.936906	Val Acc: 34.20000076293945
Train Epoch: 3 [35000/49000 (71%)]	Train Loss: 2.029718	Val Loss: 1.888058	Val Acc: 37.5
Train Epoch: 3 [37500/49000 (77%)]	Train Loss: 1.845542	Val Loss: 1.908725	Val Acc: 37.400001525878906
Train Epoch: 3 [40000/49000 (82%)]	Train Loss: 1.850832	Val Loss: 1.912992	Val Acc: 34.900001525878906
Train Epoch: 3 [42500/49000 (87%)]	Train Loss: 1.837951	Val Loss: 1.881563	Val Acc: 38.400001525878906
Train Epoch: 3 [45000/49000 (92%)]	Train Loss: 1.799537	Val Loss: 1.891072	Val Acc: 37.599998474121094
Train Epoch: 3 [47500/49000 (97%)]	Train Loss: 1.787038	Val Loss: 1.897777	Val Acc: 36.70000076293945
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.872918	Val Loss: 1.870665	Val Acc: 36.70000076293945
Train Epoch: 4 [2500/49000 (5%)]	Train Loss: 1.798716	Val Loss: 1.921303	Val Acc: 35.0
Train Epoch: 4 [5000/49000 (10%)]	Train Loss: 1.895102	Val Loss: 1.941368	Val Acc: 36.0
Train Epoch: 4 [7500/49000 (15%)]	Train Loss: 1.689726	Val Loss: 1.890199	Val Acc: 37.29999923706055
Train Epoch: 4 [10000/49000 (20%)]	Train Loss: 1.968874	Val Loss: 1.905779	Val Acc: 39.099998474121094
Train Epoch: 4 [12500/49000 (26%)]	Train Loss: 1.780701	Val Loss: 1.894728	Val Acc: 38.5
Train Epoch: 4 [15000/49000 (31%)]	Train Loss: 1.904012	Val Loss: 1.876173	Val Acc: 36.900001525878906
Train Epoch: 4 [17500/49000 (36%)]	Train Loss: 1.792909	Val Loss: 1.893261	Val Acc: 35.70000076293945
Train Epoch: 4 [20000/49000 (41%)]	Train Loss: 1.764199	Val Loss: 1.913612	Val Acc: 37.70000076293945
Train Epoch: 4 [22500/49000 (46%)]	Train Loss: 1.880417	Val Loss: 1.872512	Val Acc: 39.20000076293945
Train Epoch: 4 [25000/49000 (51%)]	Train Loss: 1.890720	Val Loss: 1.885166	Val Acc: 36.599998474121094
Train Epoch: 4 [27500/49000 (56%)]	Train Loss: 1.802603	Val Loss: 1.878903	Val Acc: 36.900001525878906
Train Epoch: 4 [30000/49000 (61%)]	Train Loss: 1.901518	Val Loss: 1.887351	Val Acc: 35.70000076293945
Train Epoch: 4 [32500/49000 (66%)]	Train Loss: 1.834293	Val Loss: 1.873335	Val Acc: 36.400001525878906
Train Epoch: 4 [35000/49000 (71%)]	Train Loss: 1.783843	Val Loss: 1.885990	Val Acc: 37.400001525878906
Train Epoch: 4 [37500/49000 (77%)]	Train Loss: 1.901700	Val Loss: 1.883029	Val Acc: 37.5
Train Epoch: 4 [40000/49000 (82%)]	Train Loss: 1.841597	Val Loss: 1.912886	Val Acc: 36.599998474121094
Train Epoch: 4 [42500/49000 (87%)]	Train Loss: 1.942978	Val Loss: 1.883207	Val Acc: 38.0
Train Epoch: 4 [45000/49000 (92%)]	Train Loss: 1.986918	Val Loss: 1.875439	Val Acc: 38.20000076293945
Train Epoch: 4 [47500/49000 (97%)]	Train Loss: 1.867527	Val Loss: 1.872193	Val Acc: 36.400001525878906
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.722840	Val Loss: 1.885637	Val Acc: 36.79999923706055
Train Epoch: 5 [2500/49000 (5%)]	Train Loss: 1.907440	Val Loss: 1.913860	Val Acc: 35.400001525878906
Train Epoch: 5 [5000/49000 (10%)]	Train Loss: 1.849667	Val Loss: 1.867351	Val Acc: 37.0
Train Epoch: 5 [7500/49000 (15%)]	Train Loss: 1.770176	Val Loss: 1.866624	Val Acc: 38.400001525878906
Train Epoch: 5 [10000/49000 (20%)]	Train Loss: 1.901589	Val Loss: 1.888481	Val Acc: 36.099998474121094
Train Epoch: 5 [12500/49000 (26%)]	Train Loss: 1.855414	Val Loss: 1.898409	Val Acc: 36.29999923706055
Train Epoch: 5 [15000/49000 (31%)]	Train Loss: 1.810754	Val Loss: 1.888748	Val Acc: 35.900001525878906
Train Epoch: 5 [17500/49000 (36%)]	Train Loss: 1.771875	Val Loss: 1.881887	Val Acc: 37.20000076293945
Train Epoch: 5 [20000/49000 (41%)]	Train Loss: 1.758017	Val Loss: 1.867743	Val Acc: 37.400001525878906
Train Epoch: 5 [22500/49000 (46%)]	Train Loss: 1.952726	Val Loss: 1.871341	Val Acc: 38.5
Train Epoch: 5 [25000/49000 (51%)]	Train Loss: 1.679834	Val Loss: 1.854639	Val Acc: 38.099998474121094
